Ref,Val,Package,PosX,PosY,Rot,Side
"C1","Connector_PinHeader_2.54mm","PinHeader_1x08_P2.54mm_Vertical_SMD_Pin1Right",159.800000,-75.900000,180.000000,bottom
"C3","100nF","C_0603_1608Metric",166.350000,-72.700000,180.000000,bottom
"C4","100nF","C_0603_1608Metric",172.850000,-72.800000,0.000000,bottom
"C5","100nF","C_0603_1608Metric",167.000000,-85.800000,180.000000,bottom
"C6","8pF","C_0603_1608Metric",163.500000,-68.925000,90.000000,bottom
"C7","100nF","C_0603_1608Metric",164.300000,-77.375000,-90.000000,bottom
"C9","8pF","C_0603_1608Metric",168.000000,-69.000000,90.000000,bottom
"C10","100nF","C_0603_1608Metric",176.900000,-83.200000,-90.000000,bottom
"C11","27pF","C_0603_1608Metric",177.200000,-69.400000,90.000000,bottom
"C12","27pF","C_0603_1608Metric",170.500000,-66.100000,180.000000,bottom
"C17","10nF","C_0603_1608Metric",167.650000,-60.300000,90.000000,bottom
"C18","10nF","C_0603_1608Metric",177.400000,-59.250000,90.000000,bottom
"C19","10nF","C_0603_1608Metric",167.900000,-63.700000,-90.000000,bottom
"C20","10nF","C_0603_1608Metric",177.100000,-63.700000,-90.000000,bottom
"D1","MBR0540","D_SOD-123",177.600000,-99.900000,0.000000,bottom
"P1","ST-TF-003A, L-KLS1-TF-003","sdcardsoket",188.130000,-73.950000,-90.000000,bottom
"Q1","BC817-40-HT","SOT-23",180.962500,-97.550000,180.000000,bottom
"R1","10k","R_0603_1608Metric",159.400000,-84.875000,-90.000000,bottom
"R9","1k","R_0603_1608Metric",165.175000,-61.000000,0.000000,bottom
"R10","1k","R_0603_1608Metric",179.800000,-60.000000,180.000000,bottom
"R11","10k","R_0603_1608Metric",174.800000,-96.300000,90.000000,bottom
"R12","10k","R_0603_1608Metric",168.625000,-97.800000,180.000000,bottom
"R13","10k","R_0603_1608Metric",171.725000,-97.800000,0.000000,bottom
"R14","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",181.112500,-95.000000,0.000000,bottom
"U1","STM32F103C8T6","LQFP48_STM",170.600000,-79.500000,-90.000000,bottom
"U3","OPA2197xD","SOIC-8_3.9x4.9mm_P1.27mm",172.475000,-62.165000,0.000000,bottom
"Y1","AB26T-32.768KHZ-6","XTAL_AB26T-32.768KHZ-6",165.685000,-69.900000,-90.000000,bottom
"Y2","XD8M000000S418","Crystal_SMD_EuroQuartz_MJ-4Pin_5.0x3.2mm",172.800000,-69.000000,180.000000,bottom
"","","",195.800000,-54.100000,0.000000,top
"","","",160.000000,-95.900000,0.000000,top
"","","",160.000000,-54.100000,0.000000,top
"","","",195.800000,-95.900000,0.000000,top
"BZ1","Buzzer","Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm",174.800000,-102.700000,0.000000,top
"C2","4.7uF","C_0603_1608Metric",190.250000,-94.700000,90.000000,top
"C8","100nF","C_0603_1608Metric",186.200000,-57.725000,90.000000,top
"C13","100nF","C_0603_1608Metric",188.800000,-67.500000,90.000000,top
"C14","100nF","C_0603_1608Metric",188.800000,-77.375000,90.000000,top
"C15","100nF","C_0603_1608Metric",188.800000,-87.200000,90.000000,top
"C16","100nf","C_0603_1608Metric",168.700000,-92.100000,180.000000,top
"C21","10uF","C_0805_2012Metric",177.000000,-88.900000,180.000000,top
"C22","100nF","C_0603_1608Metric",177.000000,-87.100000,180.000000,top
"C23","100nF","C_0603_1608Metric",174.600000,-82.100000,-90.000000,top
"C24","22uF","C_0603_1608Metric",188.700000,-94.700000,-90.000000,top
"C25","22uF","C_0603_1608Metric",187.100000,-94.700000,-90.000000,top
"C26","47pF","C_0603_1608Metric",177.275000,-79.862500,180.000000,top
"C27","100nF","C_0603_1608Metric",184.800000,-99.200000,180.000000,top
"C28","100nF","C_0603_1608Metric",184.800000,-100.700000,180.000000,top
"D2","SBR3U40P1-7","D_PowerDI-123",176.200000,-92.700000,180.000000,top
"J1","691322310002","PinHeader_1x02_P2.54mm_Vertical",165.920000,-106.250000,-90.000000,top
"J1","Screw_Terminal_01x03","PinHeader_1x03_P2.54mm_Vertical",168.360000,-89.400000,90.000000,top
"J1","691322310002","PinHeader_1x02_P2.54mm_Vertical",172.227502,-54.000000,-90.000000,top
"J2","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal",172.205000,-56.482500,180.000000,top
"J3","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal",165.905000,-103.782500,180.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",176.390000,-54.300000,90.000000,top
"J5","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",160.100000,-92.275000,180.000000,top
"J6","10k NTC Connector","PinHeader_1x2_P2.54mm",192.570000,-57.100000,180.000000,top
"J7","10k NTC Connector","PinHeader_1x2_P2.54mm",192.570000,-54.000000,180.000000,top
"J8","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",194.690000,-102.400000,90.000000,top
"L1","6.8uH","INDC6060X300",182.300000,-92.300000,-90.000000,top
"R2","10k","R_0603_1608Metric",185.400000,-60.300000,0.000000,top
"R3","10k","R_0603_1608Metric",188.800000,-70.825000,90.000000,top
"R4","10k","R_0603_1608Metric",188.800000,-80.700000,90.000000,top
"R5","10k","R_0603_1608Metric",188.800000,-90.400000,90.000000,top
"R6","SHUNT","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",164.000000,-95.500000,90.000000,top
"R7","10k","R_0603_1608Metric",189.100000,-60.200000,180.000000,top
"R8","10k","R_0603_1608Metric",187.700000,-54.800000,-90.000000,top
"R15","511k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",180.000000,-82.850000,90.000000,top
"R16","105k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",181.600000,-82.862500,-90.000000,top
"R17","49.9","R_0603_1608Metric",177.275000,-76.462500,180.000000,top
"R18","100K","R_0603_1608Metric",177.225000,-78.162500,0.000000,top
"R19","22.1k","R_0603_1608Metric",179.675000,-77.287500,90.000000,top
"R20","5.1k","R_0603_1608Metric",188.700000,-104.700000,-90.000000,top
"R21","5.1k","R_0603_1608Metric",186.900000,-104.700000,-90.000000,top
"SW1","SW_Push","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",180.375000,-58.400000,0.000000,top
"SW2","SW_Push","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",192.000000,-64.300000,-90.000000,top
"SW3","SW_Push","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",192.000000,-74.200000,-90.000000,top
"SW4","SW_Push","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",192.000000,-84.100000,-90.000000,top
"U2","INA228","VSSOP-10_3x3mm_P0.5mm",170.050000,-94.750000,180.000000,top
"U4","DM-OLED096-636","MODULE_DM-OLED096-636",173.412500,-74.400000,90.000000,top
"U5","TPS54302","SOT-23-6",177.200000,-83.000000,90.000000,top
